USERID,r_score,f_score,m_score,rfm_wscore
51852,1,1,1,0.9999999999999999
51853,3,1,1,2.1999999999999997
51854,2,1,1,1.6
51855,5,1,1,3.4
51856,5,1,1,3.4
51857,3,1,1,2.1999999999999997
51859,3,1,1,2.1999999999999997
51860,2,1,1,1.6
51863,4,1,1,2.8
51864,4,1,1,2.8
51873,2,1,1,1.6
51874,4,1,1,2.8
51876,2,1,1,1.6
51878,1,1,1,0.9999999999999999
51879,4,1,1,2.8
51880,5,1,1,3.4
51881,2,1,1,1.6
51883,2,1,1,1.6
51884,4,1,1,2.8
51885,2,1,1,1.6
51888,5,1,1,3.4
51890,3,1,1,2.1999999999999997
51891,4,1,1,2.8
51893,3,1,1,2.1999999999999997
51896,5,1,1,3.4
51900,4,1,1,2.8
51901,5,1,1,3.4
51902,4,1,1,2.8
51903,5,1,1,3.4
51904,1,1,1,0.9999999999999999
51907,3,1,1,2.1999999999999997
51908,4,1,1,2.8
51910,3,1,1,2.1999999999999997
51912,1,1,1,0.9999999999999999
51914,1,1,1,0.9999999999999999
51916,3,1,1,2.1999999999999997
51920,4,1,1,2.8
51921,5,1,1,3.4
51923,4,1,1,2.8
51924,3,1,1,2.1999999999999997
51926,4,1,1,2.8
51934,2,1,1,1.6
51936,4,1,1,2.8
51938,1,1,1,0.9999999999999999
51939,2,1,1,1.6
51940,4,1,1,2.8
51941,1,1,1,0.9999999999999999
51942,1,1,1,0.9999999999999999
51943,4,1,1,2.8
51944,4,1,1,2.8
51946,5,1,1,3.4
51948,1,1,1,0.9999999999999999
51954,2,1,1,1.6
51956,3,1,1,2.1999999999999997
51957,5,1,1,3.4
51958,1,1,1,0.9999999999999999
51959,5,1,1,3.4
51960,3,1,1,2.1999999999999997
51961,2,1,1,1.6
51966,4,1,1,2.8
51967,2,1,1,1.6
51968,5,1,1,3.4
51969,4,1,1,2.8
51970,4,1,1,2.8
51972,2,1,1,1.6
51978,1,1,1,0.9999999999999999
51979,5,1,1,3.4
51981,2,1,1,1.6
51982,2,1,1,1.6
51984,1,1,1,0.9999999999999999
51985,5,1,1,3.4
51986,5,2,1,3.7
51988,4,1,1,2.8
